iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
13,13,PSO,9.699062465125232e-06,211,0.9876667486317894,0.027189120198496414,-2.2247001633630505e-07,-9.515473881882076e-09,2.371819417830831e-12
14,14,PSO,9.207370692943548e-06,99,0.8614125577859517,0.028175966232517134,-2.972424152537241e-06,-6.353858646997686e-09,1.0877159700985021e-12
15,15,PSO,2.4157272363267962e-05,501,1.1806915155181483,0.026339424911564973,-1.8289659148121207e-07,-6.8579762343406405e-09,2.6981865755482045e-13
16,16,PSO,9.491285764279859e-06,135,0.9876187412006928,0.02717336325470029,-8.314524025122527e-08,-9.839400084400156e-09,2.6306253933677158e-12
17,17,PSO,9.914529743988671e-06,437,1.0095796147523992,0.027126409923226152,-2.7680921062645296e-07,-9.495899912250134e-09,2.4914208397877586e-12
18,18,PSO,9.165511715696319e-06,132,0.9461310486359542,0.027521100268917787,-1.150111849027496e-06,-8.768757023951595e-09,2.2949946997096596e-12
19,19,PSO,8.35038894085653e-06,43,0.43802653581521905,0.031572413333793306,-1.0971375891359641e-05,-4.824248400921055e-11,6.671587495441682e-14
20,20,PSO,9.501332931360243e-06,188,0.8814027548534583,0.028307632937970194,-3.603505526970555e-06,-6.017226544644449e-09,1.3093547422887555e-12
21,21,PSO,3.6294051812613385e-05,501,1.2985576593462111,0.02522919443694607,2.5448541529870226e-06,-8.915010896256191e-09,6.190905843573519e-13
22,22,PSO,9.498078446317855e-06,255,0.9648266315436843,0.027210706102383575,-4.7878662943371496e-08,-9.814505038420291e-09,2.509023668722604e-12
23,23,PSO,0.00040655760275862105,501,3.0968184023254803,0.015232311888899674,1.36877871701031e-05,-8.475457390900429e-10,-1.1095709686761082e-11
24,24,PSO,0.00016301804316364192,501,3.6216741903550016,0.007712012050701034,4.644502080667693e-05,-5.3517377258004714e-08,1.6366923584558375e-11
25,25,PSO,0.0003861924222092579,501,3.0438163608587394,0.015775699127293766,1.2340939222408864e-05,-1.8466969653761984e-11,-1.1027547507719602e-11
26,26,PSO,2.5150496922855147e-05,501,0.9969789015835341,0.027899870374366625,-4.960639534059143e-06,-8.215938777622512e-10,-2.3985766987234836e-12
27,27,PSO,8.814994498047851e-06,38,0.09570892696139682,0.03312555892551641,-1.2676386197210445e-05,4.5771033011003196e-10,-1.4465415245755705e-13
28,28,PSO,1.7819131769287173e-05,501,0.866049866137462,0.028798948161352488,-6.666907990330336e-06,-2.2474270765674736e-11,-2.2044633420193263e-12
29,29,PSO,9.964490058844756e-06,220,1.028056552174432,0.027034666210467836,3.679906344342519e-08,-9.974226286542086e-09,2.741613781600317e-12
30,30,PSO,6.277008536152495e-05,501,1.3868167687858206,0.025606974676589206,-1.9814563314499834e-06,-1.1904143286775929e-10,-4.246701508273159e-12
31,31,PSO,2.2647049612755332e-05,501,1.1452329854997982,0.026591434405163115,-8.169563846880861e-07,-6.566216681334023e-09,4.3292682221170677e-13
32,32,PSO,1.0148481948956121e-05,501,0.8244656162289675,0.028303728573117727,-3.0532791713070414e-06,-6.222155414992528e-09,9.363060100613478e-13
33,33,PSO,1.2737145359121109e-05,501,0.7703190735649251,0.02944521486753936,-7.72655718540373e-06,6.488214192766905e-11,-1.7419951833956066e-12
34,34,PSO,2.4947798139696112e-05,501,1.137804732700781,0.02639487772513179,-1.6251736280860887e-07,-6.851784408024168e-09,2.3229876344397294e-13
35,35,PSO,1.068805308221986e-05,501,0.9017894212190709,0.028006089816547886,-2.9249685826373907e-06,-5.9884644183688e-09,8.102044569891326e-13
36,36,PSO,3.1728417118881485e-06,293,0.9257329430109503,0.026947789863214836,3.0354957358552905e-06,-1.6954869317045233e-08,7.055095290792997e-12
37,37,PSO,0.0002633096022637341,501,2.9144512116839887,0.014699548178416868,2.124937050756864e-05,-1.6678521773553957e-08,-1.7491931488384685e-12
38,38,PSO,8.825761628397468e-06,66,0.15310818474864554,0.03275503888603545,-1.1946096279720953e-05,-2.763120024067567e-11,-1.1942085331212318e-13
39,39,PSO,1.122499164654756e-05,501,0.7399620048289083,0.02953748427244239,-7.647642447150193e-06,-2.126879601354452e-10,-1.6134141239095631e-12
40,40,PSO,9.84752067872491e-06,276,0.9995700716085718,0.027221579571399573,-3.4421573808476957e-07,-9.527208547540168e-09,2.4990187481915074e-12
