iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
15,15,PSO,8.893939779904737e-06,55,0.6531580286828309,0.030127675865332038,-8.704357621295102e-06,-1.2630483208477702e-11,-1.1565448465530774e-12
16,16,PSO,9.86425372395795e-06,299,0.4171984593940024,0.02978732263733486,1.4886576271653318e-08,-1.896442478658503e-08,9.83193118503839e-12
17,17,PSO,9.892434381506548e-06,32,-0.01808060641757469,0.033772024203442594,-1.3549421482070552e-05,-1.1138189005560138e-11,7.374874023002217e-13
18,18,PSO,9.085758244108872e-06,124,0.988295322627933,0.02710154159290486,1.2895610654690384e-07,-1.0116099368387967e-08,2.7517555186001895e-12
19,19,PSO,1.2339808228234937e-05,501,0.7613323728353937,0.029564073270607758,-7.892649015747691e-06,1.8407918250142827e-11,-1.6321719580330632e-12
20,20,PSO,2.4827035741769673e-05,501,1.1276168990420115,0.026533217595556973,-3.6117057102720273e-07,-6.577552412904241e-09,-1.3048713575369369e-14
21,21,PSO,0.0005276490031709559,501,3.4815005483258403,0.013055203011900305,1.6190752974902013e-05,2.752080857896947e-10,-1.301717146568438e-11
22,22,PSO,7.96461796408974e-06,52,-0.08170157051309958,0.03473577334573757,-1.654948145961818e-05,3.0598110588560206e-09,-1.9731067284592498e-13
23,23,PSO,3.292004678439018e-05,501,1.1977018073463084,0.026117073220129284,3.647512350081708e-08,-5.944926233712862e-09,-7.436317944900301e-13
24,24,PSO,2.0694823762938314e-05,501,0.8820615966364873,0.028783041543726715,-6.825603114916956e-06,5.992211849548963e-10,-2.710769831675747e-12
25,25,PSO,2.3571325081581278e-05,501,1.0803728359489788,0.026786301813038343,-8.681010895079515e-07,-6.194989022389219e-09,-1.1519009674493945e-13
26,26,PSO,9.947078634701604e-06,71,0.29925093341109216,0.032434209209046716,-1.1960220461851729e-05,1.9826726309910895e-11,9.095876692067017e-14
27,27,PSO,0.00011425651168777459,501,1.7377415310738031,0.02270003595503218,5.990249198610496e-06,-7.240740310653304e-09,-2.7277513712170817e-12
28,28,PSO,1.8455452791088188e-05,501,1.033531299335303,0.027480363299414,-2.849595091347423e-06,-4.688044003624143e-09,-1.8272916229522374e-13
29,29,PSO,0.0004420343250107255,501,3.731680184818033,0.008374077968523222,3.542096206586005e-05,-2.7365246335532888e-08,2.471033487771538e-14
30,30,PSO,9.651538038602252e-06,105,0.6967394035708897,0.029909648900420187,-8.16195194223497e-06,-6.467726041658613e-10,-8.938721321495091e-13
31,31,PSO,7.296403589072693e-06,15,0.7118642386315512,0.029485751225806503,-6.536493122622759e-06,-2.7593297894018664e-09,-1.1796810821438922e-14
32,32,PSO,0.0002603798665767801,501,2.372156987492327,0.01921921221230853,8.173296306004023e-06,-4.138377481197807e-10,-9.240467672331148e-12
33,33,PSO,9.87242052368255e-06,327,1.014697664115193,0.027025919189147395,1.5403836897955994e-07,-9.959982760301782e-09,2.6145780720562404e-12
34,34,PSO,3.762289153167034e-05,501,1.135922209759597,0.027165412505301013,-4.248266309085713e-06,2.9892331636718084e-11,-3.409619443289178e-12
35,35,PSO,3.3845402676722924e-05,501,1.0889363304661304,0.027410817554467126,-4.5577410151740515e-06,-6.834656226667962e-11,-3.1907375223108827e-12
36,36,PSO,1.2362795519153953e-05,501,0.8729000594964077,0.028291766680427603,-4.009260664830633e-06,-4.368814815922623e-09,-1.0021943400604995e-14
37,37,PSO,3.0270984272309595e-05,501,1.0348260560933071,0.027723764467865297,-5.054167225681967e-06,1.7536425056621637e-11,-3.0336064935747934e-12
38,38,PSO,0.0002519299425192355,501,4.595257703721088,-8.112710801044775e-05,7.050728902615806e-05,-8.409905450194605e-08,2.9550967355407676e-11
39,39,PSO,1.0017721081764488e-05,501,1.034191857219423,0.026807213688807358,8.064516254810036e-07,-1.107109194908767e-08,3.3039662553070543e-12
40,40,PSO,9.709749769781301e-06,236,1.0020672876047727,0.027089041601415773,1.9771645421762476e-08,-9.880647982663526e-09,2.580795895213941e-12
