iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3
37,37,4.040100000004039,501,999999.9999999816,1.0000000000000061e-08,0.4245816647673911,-0.7955805177410039
38,38,5.4472840999758915e-11,92,1000000.0000073665,2.0000004550626258e-06,0.29263927643016563,0.5662947685892906
39,39,7.093559542746939e-11,86,1000000.0000051168,1.9999933101522372e-06,0.8558099562984578,0.9945376917869232
40,40,7.633221820692933e-11,109,999999.9999912633,2.00000004055799e-06,0.7618329438950449,0.14615411073110224
41,41,4.0986999081565616e-11,103,999999.9999937112,2.0000011994086817e-06,0.3223251757211148,0.9800423083298382
42,42,4.040100000004039,501,999999.999999953,1.000000000000002e-08,0.46713128056062814,-0.6331401418344256
43,43,2.5243266000846448e-11,104,999999.9999953003,2.0000017765826193e-06,0.375164763257564,0.25011532041171936
44,44,7.848934842948968e-11,133,1000000.0000084627,2.0000026214587873e-06,0.8725010361469805,0.8226906036084048
45,45,1.881534456674179e-11,102,999999.9999986032,2.0000041066353706e-06,0.5066695321920947,0.5697569049699186
46,46,3.5278028897383695e-11,113,1000000.0000056424,1.9999981449550063e-06,0.8685879533386192,0.8888438887954523
47,47,7.908204731601458e-11,107,999999.99999166,1.9999969135051963e-06,0.3011043480741423,0.14067386333929185
48,48,4.040100000004039,501,999999.9999999795,1e-08,0.4918179918866521,-0.8977270076456075
49,49,7.712770993381087e-12,96,1000000.0000027282,1.999999480635725e-06,0.15621961788212485,0.49270656085607234
50,50,7.486026361466378e-11,119,999999.9999971164,1.999991842489523e-06,0.8094545632189818,0.996761878468573
51,51,7.35936356572945e-11,111,1000000.0000031228,1.9999920099061644e-06,0.9466011242792225,0.3339024640388701
52,52,4.040100000004039,501,999999.9999999919,1e-08,0.6314480761357146,-0.9603391352759896
53,53,7.649143845996466e-11,117,999999.9999923309,2.0000042043540453e-06,0.26824633999267533,0.35904734789367804
54,54,3.0252886503036463e-12,235,999999.9999986809,1.999998866310205e-06,0.2669193456656142,0.3856691977071059
55,55,4.0766854431193354e-11,125,999999.9999936458,1.9999993745232753e-06,0.9960461984474636,0.13100290789191074
56,56,9.139259150962231e-12,118,1000000.0000008916,2.0000028886422066e-06,0.35928710951989673,0.4974994027290052
57,57,7.916588958027229e-11,115,999999.9999912019,2.000001326493399e-06,0.4923711567777518,0.23595079093854057
